[2019_01_13__22_03_45] :MAIN [INFO   ] Program started.
[2019_01_13__22_03_45] :GENG [INFO   ] Constructing default GEngine.
[2019_01_13__22_03_45] :GENG [INFO   ] Initialising new GEngine...
[2019_01_13__22_03_45] :GENG [INFO   ] GLFW Initialised.
[2019_01_13__22_03_46] :GENG [INFO   ] Created GLFW window.
[2019_01_13__22_03_46] :GENG [INFO   ] GLFW window context set.
[2019_01_13__22_03_46] :GENG [INFO   ] GLEW Initialised.
[2019_01_13__22_03_46] :GENG [INFO   ] GEngine initialisation started...
[2019_01_13__22_03_46] :MAIN [INFO   ] Initialising GLSL shader programs...
[2019_01_13__22_03_46] :GSPR [INFO   ] Creating new program...
[2019_01_13__22_03_46] :GSPR [INFO   ] ../shaders/basic_texture.vert compiled succesfully.
[2019_01_13__22_03_46] :GSPR [INFO   ] ../shaders/basic_texture.frag compiled succesfully.
[2019_01_13__22_03_46] :GSPR [INFO   ] Program linked succesfully.
[2019_01_13__22_03_46] :GSPR [INFO   ] Loaded GShaderProgram 3 succesfully.
[2019_01_13__22_03_46] :GSVR [INFO   ] GShaderProgram Id 3, linking u_m to GShaderVariableHandleId 0
[2019_01_13__22_03_46] :GSVR [INFO   ] GShaderProgram Id 3, linking u_v to GShaderVariableHandleId 1
[2019_01_13__22_03_46] :GSVR [INFO   ] GShaderProgram Id 3, linking u_p to GShaderVariableHandleId 2
[2019_01_13__22_03_46] :GSPM [INFO   ] GShaderProgram added to GShaderProgramManager.
[2019_01_13__22_03_46] :GMSH [INFO   ] Loading new Mesh...
[2019_01_13__22_03_46] :GMSH [INFO   ] Buffered into VAO
[2019_01_13__22_03_46] :GENG [INFO   ] GEngine initialisation succesful.
[2019_01_13__22_03_46] :GENG [INFO   ] Initialised content succesfully.
[2019_01_13__22_03_46] :GENG [INFO   ] Running GL loop...
[2019_01_13__22_03_46] :GENG [INFO   ] ==================
[2019_01_13__22_03_47] :GENG [INFO   ] FPS 58
[2019_01_13__22_03_48] :GENG [INFO   ] FPS 58
[2019_01_13__22_03_48] :MAIN [INFO   ] User triggered terminatation.
[2019_01_13__22_03_48] :GENG [INFO   ] ==================
[2019_01_13__22_03_48] :GENG [INFO   ] Window has closed. Application will now exit.
[2019_01_13__22_03_48] :GENG [INFO   ] GEngine terminated succesfully.
[2019_01_13__22_03_48] :MAIN [INFO   ] Program exit.
