[2019_01_27__10_16_13] :MAIN [INFO   ] Program started.
[2019_01_27__10_16_13] :GENG [INFO   ] Constructing default GEngine.
[2019_01_27__10_16_13] :GENG [INFO   ] Initialising new GEngine...
[2019_01_27__10_16_14] :GENG [INFO   ] GLFW Initialised.
[2019_01_27__10_16_14] :GENG [INFO   ] Created GLFW window.
[2019_01_27__10_16_14] :GENG [INFO   ] GLFW window context set.
[2019_01_27__10_16_14] :GENG [INFO   ] GLEW Initialised.
[2019_01_27__10_16_14] :GENG [INFO   ] GEngine initialisation started...
[2019_01_27__10_16_14] :MAIN [INFO   ] Initialising GLSL shader programs...
[2019_01_27__10_16_14] :GSPR [INFO   ] Creating new program...
[2019_01_27__10_16_14] :GSPR [INFO   ] ../shaders/basic_texture.vert compiled succesfully.
[2019_01_27__10_16_14] :GSPR [INFO   ] ../shaders/basic_texture.frag compiled succesfully.
[2019_01_27__10_16_14] :GSPR [INFO   ] Program linked succesfully.
[2019_01_27__10_16_14] :GSPR [INFO   ] Loaded GShaderProgram 3 succesfully.
[2019_01_27__10_16_14] :GSVR [INFO   ] GShaderProgram Id 3, linking u_m to GShaderVariableHandleId 0
[2019_01_27__10_16_14] :GSVR [INFO   ] GShaderProgram Id 3, linking u_v to GShaderVariableHandleId 1
[2019_01_27__10_16_14] :GSVR [INFO   ] GShaderProgram Id 3, linking u_p to GShaderVariableHandleId 2
[2019_01_27__10_16_14] :GSPM [INFO   ] GShaderProgram added to GShaderProgramManager.
[2019_01_27__10_16_14] :GSVR [INFO   ] GShaderProgram Id 3, linking u_tex to GShaderVariableHandleId 3
[2019_01_27__10_16_14] :GSPR [INFO   ] Creating new program...
[2019_01_27__10_16_14] :GSPR [INFO   ] ../shaders/phong.vert compiled succesfully.
[2019_01_27__10_16_14] :GSPR [INFO   ] ../shaders/phong.frag compiled succesfully.
[2019_01_27__10_16_14] :GSPR [INFO   ] Program linked succesfully.
[2019_01_27__10_16_14] :GSPR [INFO   ] Loaded GShaderProgram 6 succesfully.
[2019_01_27__10_16_14] :GSVR [INFO   ] GShaderProgram Id 6, linking u_m to GShaderVariableHandleId 0
[2019_01_27__10_16_14] :GSVR [INFO   ] GShaderProgram Id 6, linking u_v to GShaderVariableHandleId 1
[2019_01_27__10_16_14] :GSVR [INFO   ] GShaderProgram Id 6, linking u_p to GShaderVariableHandleId 2
[2019_01_27__10_16_14] :GSPM [INFO   ] GShaderProgram added to GShaderProgramManager.
[2019_01_27__10_16_14] :GSVR [INFO   ] GShaderProgram Id 6, linking u_light_pos to GShaderVariableHandleId 3
[2019_01_27__10_16_14] :GSVR [INFO   ] GShaderProgram Id 6, linking u_light_color to GShaderVariableHandleId 7
[2019_01_27__10_16_14] :GSVR [INFO   ] GShaderProgram Id 6, linking u_light_properties to GShaderVariableHandleId 5
[2019_01_27__10_16_14] :GSVR [INFO   ] GShaderProgram Id 6, linking u_eye_pos to GShaderVariableHandleId 4
[2019_01_27__10_16_14] :GSVR [INFO   ] GShaderProgram Id 6, linking u_ambient_color to GShaderVariableHandleId 6
[2019_01_27__10_16_14] :MAIN [INFO   ] Creating FBOs...
[2019_01_27__10_16_14] :GFBO [INFO   ] Creating new FBO...
[2019_01_27__10_16_14] :GFBO [INFO   ] Successfully created FBO = 1
[2019_01_27__10_16_14] :GMSH [INFO   ] Loading new Mesh...
[2019_01_27__10_16_14] :GMSH [INFO   ] Buffered into VAO
[2019_01_27__10_16_14] :MAIN [INFO   ] Generating Sphere...
[2019_01_27__10_16_14] :GMSH [INFO   ] Loading new Mesh...
[2019_01_27__10_16_14] :GMSH [INFO   ] Buffered into VAO
[2019_01_27__10_16_14] :GENG [INFO   ] GEngine initialisation succesful.
[2019_01_27__10_16_14] :GENG [INFO   ] Initialised content succesfully.
[2019_01_27__10_16_14] :GENG [INFO   ] Running GL loop...
[2019_01_27__10_16_14] :GENG [INFO   ] ==================
[2019_01_27__10_16_24] :GENG [INFO   ] ==================
[2019_01_27__10_16_24] :GENG [INFO   ] Window has closed. Application will now exit.
[2019_01_27__10_16_24] :GENG [INFO   ] GEngine terminated succesfully.
[2019_01_27__10_16_24] :MAIN [INFO   ] Program exit.
